Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.1

0.0,0.1,0.0,0.0,0.1

0.0,0.4,0.0,1.5,2.0

-0.8,54.5,5.4,51.9,111.0

48.1,31.0,50.8,30.5,160.4

40.6,37.5,41.8,35.2,155.1

38.7,37.9,41.5,35.6,153.8

38.3,38.7,41.0,36.0,154.0

38.3,39.0,40.8,36.7,154.7

37.6,39.1,40.3,36.8,153.7

38.2,38.6,41.0,36.7,154.4

38.4,38.9,41.3,37.2,155.8

43.8,37.7,46.7,38.7,166.9

7.2,78.6,1.8,49.8,137.4

0.1,0.7,0.3,0.0,1.1

0.1,0.0,0.2,0.1,0.4

0.1,0.0,0.1,0.1,0.3

0.1,0.0,0.1,0.1,0.3
