Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,-0.0,0.0,0.0,0.1

0.2,-0.0,0.1,0.0,0.2

2.5,2.6,0.2,0.1,5.3

40.3,32.8,23.8,25.9,122.8

27.6,32.5,22.2,18.3,100.6

32.7,34.3,22.4,18.6,108.0

33.5,34.9,21.6,18.0,107.9

33.8,35.0,21.4,17.7,107.9

33.9,35.0,21.3,17.7,107.8

33.7,34.9,21.2,17.5,107.3

33.3,35.1,21.2,17.5,107.1

25.6,25.9,25.7,25.8,102.9

51.5,62.7,-2.0,-0.0,112.2

0.1,0.1,0.2,0.0,0.5

-0.0,0.0,0.1,0.0,0.2

0.0,0.0,0.1,0.0,0.1

0.0,0.0,0.0,-0.0,0.0

