Load 1 (lb),Load 2 (lb),Load 3 (lb),Load 4 (lb),Total (lb)
0.0,0.0,0.0,0.0,0.1

0.8,1.5,0.3,0.1,2.7

33.9,42.9,1.5,1.5,79.7

19.6,25.5,32.2,0.1,77.4

17.9,28.0,32.6,0.1,78.6

51.1,64.5,16.0,0.2,131.8

60.6,60.6,20.3,0.0,141.5

45.0,63.7,21.7,-0.0,130.4

40.8,57.3,25.9,0.1,124.1

52.3,51.1,24.4,0.0,127.8

47.6,64.8,21.9,-0.0,134.2

42.9,56.1,26.4,0.1,125.5

45.9,57.5,20.7,0.3,124.3

16.1,11.0,0.7,0.2,27.9

0.0,0.3,0.7,0.0,1.0

0.0,0.3,0.7,0.0,1.1

